Census ID,Centroid Longitude,Centroid Latitude,Traffic fatalities,Licensed drivers (thousands),Registered vehicles (thousands),Vehicle-miles traveled (millions),Miles traveled per vehicle,Fatalities per 100K licensed drivers,Fatalities per 100K registered vehicles,Fatalities per 100M vehicle-miles traveled,Fatalities involving high blood alcohol,Percent Alcohol-Related,Total Population,Urban Population,Rural Population,Pct Urban Population,Labels
56,-107.555625,43.032664,164,380.18,671.529,9261,13790.91595,43.1374612,24.42187903,1.770867077,54,32.92682927,493782,322073,171709,65.22574739,'Wyoming'
11,-77.026928,38.892064,43,349.122,240.403,3742,15565.52955,12.31661139,17.88663203,1.149118119,12,27.90697674,572059,572059,0,100,'District of Columbia'
50,-72.556496,44.043498,98,550.462,551.516,7855,14242.56051,17.80322711,17.76920343,1.247612985,20,20.40816327,608827,232550,376277,38.19640062,'Vermont'
2,-152.459342,64.609656,101,482.532,681.115,4990,7326.222444,20.9312543,14.82862659,2.024048096,30,29.7029703,626932,411955,214977,65.70967824,'Alaska'
38,-99.499793,47.469117,100,461.78,721.835,7594,10520.40979,21.65533371,13.8535815,1.316829076,35,35,642200,358394,283806,55.80722516,'North Dakota'
46,-99.67897,44.27203,197,563.298,882.769,8784,9950.508004,34.97260775,22.31614386,2.242714026,76,38.5786802,754844,391936,362908,51.9227814,'South Dakota'
10,-75.494156,39.107074,134,533.943,728.524,9301,12766.90953,25.09631178,18.39335423,1.440705301,48,35.82089552,783600,627045,156555,80.02105666,'Delaware'
30,-110.576261,46.867085,229,712.88,1056.668,11207,10605.98031,32.12321849,21.67189694,2.043365754,100,43.66812227,902195,487465,414730,54.03100217,'Montana'
44,-71.433651,41.588663,83,741.841,834.501,8473,10153.37309,11.18838134,9.946063576,0.979582202,41,49.39759036,1048319,953295,95024,90.93558354,'Rhode Island'
15,-154.525892,21.045779,142,843.876,970.518,9725,10020.42208,16.82711678,14.63136181,1.460154242,52,36.61971831,1211537,1109179,102358,91.55139298,'Hawaii'
33,-71.559103,43.90799,171,985.775,1244.631,13216,10618.40819,17.34675763,13.7390118,1.293886199,51,29.8245614,1235786,731352,504434,59.18112036,'New Hampshire'
23,-69.081113,44.885791,194,984.829,1106.776,14948,13505.8946,19.69885127,17.52838876,1.297832486,58,29.89690722,1274923,512592,762331,40.20572223,'Maine'
16,-114.619934,45.01049,260,942.983,1393.702,14729,10568.25634,27.57207712,18.655351,1.765225066,81,31.15384615,1293953,859104,434849,66.39375619,'Idaho'
31,-99.434739,41.504492,254,1315.819,1717.743,19171,11160.57524,19.30356683,14.7868453,1.324917845,78,30.70866142,1711263,1192706,518557,69.69741063,'Nebraska'
54,-80.274868,38.850586,411,1292.036,1415.954,20302,14338.03641,31.81025916,29.02636668,2.024431091,114,27.73722628,1808344,833378,974966,46.08514752,'West Virginia'
35,-106.175514,34.29149,521,1271.365,1579.258,23942,15160.28413,40.97957707,32.9901764,2.176092223,185,35.50863724,1819046,1364835,454211,75.03026312,'New Mexico'
32,-116.399879,39.17653,395,1548.097,1326.247,19354,14593.05846,25.51519705,29.78329074,2.040921773,133,33.67088608,1998257,1829781,168476,91.56885225,'Nevada'
49,-111.638517,39.414291,296,1582.599,2128.81,24696,11600.84742,18.70341129,13.90448185,1.198574668,70,23.64864865,2233169,1970935,262234,88.25731505,'Utah'
